bar_id,data_type,data_type_zh,season_zh,dimension,dimension_zh,framework,component_a,component_b,n_pairs,mean_total,mean_component_a,mean_component_b,share_component_a,share_component_b
incidence__Au__TD__Baselga-Sørensen,incidence,出现/缺失,秋季,TD,分类学 TD,Baselga-Sørensen,turnover,nestedness,66,0.7487427728737889,0.635551948051948,0.1131908248218408,0.848825485971107,0.151174514028893
incidence__Au__FD__Podani/Cardoso-Jaccard,incidence,出现/缺失,秋季,FD,功能 FD,Podani/Cardoso-Jaccard,replacement,richness_difference,66,0.6431193669043597,0.347083544215863,0.2960358226884965,0.5396875946786392,0.4603124053213607
incidence__Au__PD__Baselga-Sørensen,incidence,出现/缺失,秋季,PD,系统发育代理 PD,Baselga-Sørensen,turnover,nestedness,66,0.6050876177488744,0.4635760353932952,0.1415115823555792,0.7661304277188005,0.2338695722811995
density__Au__TD__Bray-Curtis balanced-gradient,density,密度,秋季,TD,分类学 TD,Bray-Curtis balanced-gradient,balanced,gradient,66,0.7895214856472212,0.4162398209501574,0.3732816646970638,0.527205185060846,0.4727948149391539
density__Au__FD__abundance-weighted tree replacement-richness,density,密度,秋季,FD,功能 FD,abundance-weighted tree replacement-richness,replacement,richness_difference,66,0.6082026168005561,0.2349209521034921,0.3732816646970639,0.3862544251113083,0.6137455748886916
density__Au__PD__abundance-weighted classification-tree proxy replacement-richness,density,密度,秋季,PD,系统发育代理 PD,abundance-weighted classification-tree proxy replacement-richness,replacement,richness_difference,66,0.6725949630655474,0.2992485893129984,0.373346373752549,0.4449164887424756,0.5550835112575244
biomass__Au__TD__Bray-Curtis balanced-gradient,biomass,生物量,秋季,TD,分类学 TD,Bray-Curtis balanced-gradient,balanced,gradient,66,0.8018034216960381,0.3192656942064773,0.4825377274895608,0.3981844995512008,0.6018155004487993
biomass__Au__FD__abundance-weighted tree replacement-richness,biomass,生物量,秋季,FD,功能 FD,abundance-weighted tree replacement-richness,replacement,richness_difference,66,0.6385683237431292,0.1560305962535683,0.4825377274895608,0.244344403648079,0.7556555963519209
biomass__Au__PD__abundance-weighted classification-tree proxy replacement-richness,biomass,生物量,秋季,PD,系统发育代理 PD,abundance-weighted classification-tree proxy replacement-richness,replacement,richness_difference,66,0.6891697745435268,0.2064030665912488,0.4827667079522779,0.2994952393667588,0.7005047606332411
incidence__Su__TD__Baselga-Sørensen,incidence,出现/缺失,夏季,TD,分类学 TD,Baselga-Sørensen,turnover,nestedness,66,0.770116415570961,0.666955266955267,0.103161148615694,0.8660447348869835,0.1339552651130165
incidence__Su__FD__Podani/Cardoso-Jaccard,incidence,出现/缺失,夏季,FD,功能 FD,Podani/Cardoso-Jaccard,replacement,richness_difference,66,0.7132891624424326,0.4297293484829879,0.2835598139594445,0.6024616258173838,0.397538374182616
incidence__Su__PD__Baselga-Sørensen,incidence,出现/缺失,夏季,PD,系统发育代理 PD,Baselga-Sørensen,turnover,nestedness,66,0.5636992698586271,0.4143910975481255,0.1493081723105016,0.7351279657538898,0.2648720342461103
density__Su__TD__Bray-Curtis balanced-gradient,density,密度,夏季,TD,分类学 TD,Bray-Curtis balanced-gradient,balanced,gradient,66,0.8222023340013944,0.3600762744148164,0.462126059586578,0.4379411971046602,0.5620588028953397
density__Su__FD__abundance-weighted tree replacement-richness,density,密度,夏季,FD,功能 FD,abundance-weighted tree replacement-richness,replacement,richness_difference,66,0.7050708486854969,0.2429447890989188,0.462126059586578,0.3445679105182896,0.6554320894817104
density__Su__PD__abundance-weighted classification-tree proxy replacement-richness,density,密度,夏季,PD,系统发育代理 PD,abundance-weighted classification-tree proxy replacement-richness,replacement,richness_difference,66,0.7162580330713034,0.2541319734847254,0.462126059586578,0.3548050587230574,0.6451949412769427
biomass__Su__TD__Bray-Curtis balanced-gradient,biomass,生物量,夏季,TD,分类学 TD,Bray-Curtis balanced-gradient,balanced,gradient,66,0.930412731877673,0.1295754036736958,0.8008373282039772,0.1392665848544427,0.8607334151455572
biomass__Su__FD__abundance-weighted tree replacement-richness,biomass,生物量,夏季,FD,功能 FD,abundance-weighted tree replacement-richness,replacement,richness_difference,66,0.8756915235366994,0.0748541953327222,0.8008373282039772,0.0854800958109139,0.914519904189086
biomass__Su__PD__abundance-weighted classification-tree proxy replacement-richness,biomass,生物量,夏季,PD,系统发育代理 PD,abundance-weighted classification-tree proxy replacement-richness,replacement,richness_difference,66,0.8747105883139089,0.0738732601099317,0.8008373282039772,0.084454516838912,0.915545483161088
