season_zh,vpa_panel,response_matrix_zh,model_scope_zh,predictors_zh,R2,adjusted_R2,permutation_p
秋季,A,出现/缺失口径分类学总 β 多样性,环境变量模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO),0.42,0.202,0.036
秋季,A,出现/缺失口径分类学总 β 多样性,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.195,0.016,0.37
秋季,A,出现/缺失口径分类学总 β 多样性,环境+空间联合模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.623,0.308,0.014
秋季,C,出现/缺失口径分类学周转组分,环境变量模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO),0.461,0.259,0.038
秋季,C,出现/缺失口径分类学周转组分,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.19,0.01,0.39
秋季,C,出现/缺失口径分类学周转组分,环境+空间联合模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.674,0.402,0.004
秋季,E,出现/缺失口径功能总 β 多样性,环境变量模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO),0.295,0.03,0.338
秋季,E,出现/缺失口径功能总 β 多样性,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.228,0.056,0.186
秋季,E,出现/缺失口径功能总 β 多样性,环境+空间联合模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.565,0.203,0.084
秋季,G,出现/缺失口径系统发育代理总 β 多样性,环境变量模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO),0.416,0.198,0.05
秋季,G,出现/缺失口径系统发育代理总 β 多样性,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.163,-0.023,0.554
秋季,G,出现/缺失口径系统发育代理总 β 多样性,环境+空间联合模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.627,0.317,0.028
秋季,I,密度 Bray-Curtis 总相异度,环境变量模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO),0.426,0.21,0.024
秋季,I,密度 Bray-Curtis 总相异度,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.216,0.042,0.196
秋季,I,密度 Bray-Curtis 总相异度,环境+空间联合模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.689,0.429,0.002
秋季,K,生物量 Bray-Curtis 总相异度,环境变量模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO),0.368,0.13,0.09
秋季,K,生物量 Bray-Curtis 总相异度,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.237,0.068,0.208
秋季,K,生物量 Bray-Curtis 总相异度,环境+空间联合模型,氨氮 (NH3-N)；总氮 (TN)；溶解氧 (DO)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.666,0.388,0.008
夏季,B,出现/缺失口径分类学总 β 多样性,环境变量模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN),0.473,0.275,0.014
夏季,B,出现/缺失口径分类学总 β 多样性,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.162,-0.024,0.596
夏季,B,出现/缺失口径分类学总 β 多样性,环境+空间联合模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.56,0.193,0.106
夏季,D,出现/缺失口径分类学周转组分,环境变量模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN),0.555,0.388,0.004
夏季,D,出现/缺失口径分类学周转组分,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.15,-0.039,0.63
夏季,D,出现/缺失口径分类学周转组分,环境+空间联合模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.631,0.324,0.032
夏季,F,出现/缺失口径功能总 β 多样性,环境变量模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN),0.516,0.335,0.004
夏季,F,出现/缺失口径功能总 β 多样性,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.143,-0.048,0.674
夏季,F,出现/缺失口径功能总 β 多样性,环境+空间联合模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.62,0.303,0.048
夏季,H,出现/缺失口径系统发育代理总 β 多样性,环境变量模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN),0.517,0.336,0.006
夏季,H,出现/缺失口径系统发育代理总 β 多样性,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.163,-0.023,0.556
夏季,H,出现/缺失口径系统发育代理总 β 多样性,环境+空间联合模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.592,0.251,0.086
夏季,J,密度 Bray-Curtis 总相异度,环境变量模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN),0.435,0.223,0.012
夏季,J,密度 Bray-Curtis 总相异度,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.161,-0.026,0.618
夏季,J,密度 Bray-Curtis 总相异度,环境+空间联合模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.647,0.352,0.008
夏季,L,生物量 Bray-Curtis 总相异度,环境变量模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN),0.3,0.037,0.244
夏季,L,生物量 Bray-Curtis 总相异度,空间变量模型,空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.209,0.034,0.204
夏季,L,生物量 Bray-Curtis 总相异度,环境+空间联合模型,氨氮 (NH3-N)；总磷 (TP)；总氮 (TN)；空间主轴 1 (space_PC1)；空间主轴 2 (space_PC2),0.485,0.057,0.306
