record_id,synthetic_name,taxon_id,action,reason_zh
DEMO_R001,虚构原始条目001,Sinanodonta_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R002,虚构原始条目002,Pseudovivipara_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R003,虚构原始条目003,Glyptotendipes_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R004,虚构原始条目004,Lamprotula_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R005,虚构原始条目005,Rivularia_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R006,虚构原始条目006,Dicrotendipes_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R007,虚构原始条目007,Semisulcospira_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R008,虚构原始条目008,Sinotaia_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R009,虚构原始条目009,Benthalia_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R010,虚构原始条目010,Pomacea_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R011,虚构原始条目011,Corbicula_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R012,虚构原始条目012,Limnoperna_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R013,虚构原始条目013,Procladius_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R014,虚构原始条目014,Chironomus_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R015,虚构原始条目015,Cryptochironomus_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R016,虚构原始条目016,Limnodrilus_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R017,虚构原始条目017,Lanceolaria_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R018,虚构原始条目018,Whitmania_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R019,虚构原始条目019,Cryptotendipes_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R020,虚构原始条目020,Rheotanytarsus_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R021,虚构原始条目021,Polypedilum_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R022,虚构原始条目022,Hemiclepsis_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R023,虚构原始条目023,Macrobrachium_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R024,虚构原始条目024,Microchironomus_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R025,虚构原始条目025,Cricotopus_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R026,虚构原始条目026,Baetis_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R027,虚构原始条目027,Branchiura_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R028,虚构原始条目028,Tanytarsus_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R029,虚构原始条目029,Ablabesmyia_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R030,虚构原始条目030,Ictinogomphus_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R031,虚构原始条目031,Palaemon_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R032,虚构原始条目032,Nodularia_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R033,虚构原始条目033,Cuneopsis_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R034,虚构原始条目034,Micropsectra_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R035,虚构原始条目035,Acuticosta_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R036,虚构原始条目036,Rhyacodrilus_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R037,虚构原始条目037,Cipangopaludina_sp.,retain,演示合并规则；不是历史真实异名映射
DEMO_R038,虚构原始条目038,Sinanodonta_sp.,merge_sum,演示合并规则；不是历史真实异名映射
DEMO_R039,虚构原始条目039,Pseudovivipara_sp.,merge_sum,演示合并规则；不是历史真实异名映射
DEMO_R040,虚构原始条目040,Glyptotendipes_sp.,merge_sum,演示合并规则；不是历史真实异名映射
DEMO_R041,虚构原始条目041,Lamprotula_sp.,merge_sum,演示合并规则；不是历史真实异名映射
DEMO_R042,虚构原始条目042,Rivularia_sp.,merge_sum,演示合并规则；不是历史真实异名映射
DEMO_R043,虚构原始条目043,Dicrotendipes_sp.,merge_sum,演示合并规则；不是历史真实异名映射
DEMO_R044,虚构原始条目044,,exclude,模拟分类层级不足而剔除
DEMO_R045,虚构原始条目045,,exclude,模拟分类层级不足而剔除
DEMO_R046,虚构原始条目046,,exclude,模拟分类层级不足而剔除
DEMO_R047,虚构原始条目047,,exclude,模拟分类层级不足而剔除
