sample_id,site_id,season,data_origin
DEMO_summer_01,DEMO_SITE_01,summer,synthetic_only
DEMO_summer_02,DEMO_SITE_02,summer,synthetic_only
DEMO_summer_03,DEMO_SITE_03,summer,synthetic_only
DEMO_summer_04,DEMO_SITE_04,summer,synthetic_only
DEMO_summer_05,DEMO_SITE_05,summer,synthetic_only
DEMO_summer_06,DEMO_SITE_06,summer,synthetic_only
DEMO_summer_07,DEMO_SITE_07,summer,synthetic_only
DEMO_summer_08,DEMO_SITE_08,summer,synthetic_only
DEMO_summer_09,DEMO_SITE_09,summer,synthetic_only
DEMO_summer_10,DEMO_SITE_10,summer,synthetic_only
DEMO_summer_11,DEMO_SITE_11,summer,synthetic_only
DEMO_summer_12,DEMO_SITE_12,summer,synthetic_only
DEMO_autumn_01,DEMO_SITE_01,autumn,synthetic_only
DEMO_autumn_02,DEMO_SITE_02,autumn,synthetic_only
DEMO_autumn_03,DEMO_SITE_03,autumn,synthetic_only
DEMO_autumn_04,DEMO_SITE_04,autumn,synthetic_only
DEMO_autumn_05,DEMO_SITE_05,autumn,synthetic_only
DEMO_autumn_06,DEMO_SITE_06,autumn,synthetic_only
DEMO_autumn_07,DEMO_SITE_07,autumn,synthetic_only
DEMO_autumn_08,DEMO_SITE_08,autumn,synthetic_only
DEMO_autumn_09,DEMO_SITE_09,autumn,synthetic_only
DEMO_autumn_10,DEMO_SITE_10,autumn,synthetic_only
DEMO_autumn_11,DEMO_SITE_11,autumn,synthetic_only
DEMO_autumn_12,DEMO_SITE_12,autumn,synthetic_only
