sample_id,record_id,density,biomass
DEMO_summer_01,DEMO_R001,3,11.4295
DEMO_summer_01,DEMO_R002,1,3.7126
DEMO_summer_01,DEMO_R003,0,0.0
DEMO_summer_01,DEMO_R004,0,0.0
DEMO_summer_01,DEMO_R005,0,0.0
DEMO_summer_01,DEMO_R006,0,0.0
DEMO_summer_01,DEMO_R007,0,0.0
DEMO_summer_01,DEMO_R008,12,18.2719
DEMO_summer_01,DEMO_R009,0,0.0
DEMO_summer_01,DEMO_R010,0,0.0
DEMO_summer_01,DEMO_R011,0,0.0
DEMO_summer_01,DEMO_R012,0,0.0
DEMO_summer_01,DEMO_R013,0,0.0
DEMO_summer_01,DEMO_R014,0,0.0
DEMO_summer_01,DEMO_R015,0,0.0
DEMO_summer_01,DEMO_R016,0,0.0
DEMO_summer_01,DEMO_R017,0,0.0
DEMO_summer_01,DEMO_R018,0,0.0
DEMO_summer_01,DEMO_R019,13,5.1079
DEMO_summer_01,DEMO_R020,0,0.0
DEMO_summer_01,DEMO_R021,0,0.0
DEMO_summer_01,DEMO_R022,0,0.0
DEMO_summer_01,DEMO_R023,0,0.0
DEMO_summer_01,DEMO_R024,0,0.0
DEMO_summer_01,DEMO_R025,17,43.5382
DEMO_summer_01,DEMO_R026,0,0.0
DEMO_summer_01,DEMO_R027,7,3.7874
DEMO_summer_01,DEMO_R028,0,0.0
DEMO_summer_01,DEMO_R029,0,0.0
DEMO_summer_01,DEMO_R030,28,7.1261
DEMO_summer_01,DEMO_R031,0,0.0
DEMO_summer_01,DEMO_R032,0,0.0
DEMO_summer_01,DEMO_R033,0,0.0
DEMO_summer_01,DEMO_R034,2,5.4368
DEMO_summer_01,DEMO_R035,25,54.4248
DEMO_summer_01,DEMO_R036,0,0.0
DEMO_summer_01,DEMO_R037,0,0.0
DEMO_summer_01,DEMO_R038,0,0.0
DEMO_summer_01,DEMO_R039,0,0.0
DEMO_summer_01,DEMO_R040,0,0.0
DEMO_summer_01,DEMO_R041,8,23.7572
DEMO_summer_01,DEMO_R042,0,0.0
DEMO_summer_01,DEMO_R043,18,68.5618
DEMO_summer_01,DEMO_R044,0,0.0
DEMO_summer_01,DEMO_R045,0,0.0
DEMO_summer_01,DEMO_R046,0,0.0
DEMO_summer_01,DEMO_R047,0,0.0
DEMO_summer_02,DEMO_R001,1,2.4294
DEMO_summer_02,DEMO_R002,1,2.7584
DEMO_summer_02,DEMO_R003,0,0.0
DEMO_summer_02,DEMO_R004,0,0.0
DEMO_summer_02,DEMO_R005,10,18.5496
DEMO_summer_02,DEMO_R006,11,13.3185
DEMO_summer_02,DEMO_R007,0,0.0
DEMO_summer_02,DEMO_R008,0,0.0
DEMO_summer_02,DEMO_R009,0,0.0
DEMO_summer_02,DEMO_R010,4,0.3812
DEMO_summer_02,DEMO_R011,0,0.0
DEMO_summer_02,DEMO_R012,15,6.9362
DEMO_summer_02,DEMO_R013,0,0.0
DEMO_summer_02,DEMO_R014,0,0.0
DEMO_summer_02,DEMO_R015,0,0.0
DEMO_summer_02,DEMO_R016,10,14.9043
DEMO_summer_02,DEMO_R017,0,0.0
DEMO_summer_02,DEMO_R018,0,0.0
DEMO_summer_02,DEMO_R019,0,0.0
DEMO_summer_02,DEMO_R020,0,0.0
DEMO_summer_02,DEMO_R021,0,0.0
DEMO_summer_02,DEMO_R022,0,0.0
DEMO_summer_02,DEMO_R023,0,0.0
DEMO_summer_02,DEMO_R024,0,0.0
DEMO_summer_02,DEMO_R025,0,0.0
DEMO_summer_02,DEMO_R026,3,1.5993
DEMO_summer_02,DEMO_R027,0,0.0
DEMO_summer_02,DEMO_R028,22,28.358
DEMO_summer_02,DEMO_R029,0,0.0
DEMO_summer_02,DEMO_R030,28,75.9111
DEMO_summer_02,DEMO_R031,0,0.0
DEMO_summer_02,DEMO_R032,0,0.0
DEMO_summer_02,DEMO_R033,0,0.0
DEMO_summer_02,DEMO_R034,0,0.0
DEMO_summer_02,DEMO_R035,0,0.0
DEMO_summer_02,DEMO_R036,0,0.0
DEMO_summer_02,DEMO_R037,0,0.0
DEMO_summer_02,DEMO_R038,0,0.0
DEMO_summer_02,DEMO_R039,0,0.0
DEMO_summer_02,DEMO_R040,0,0.0
DEMO_summer_02,DEMO_R041,0,0.0
DEMO_summer_02,DEMO_R042,6,7.7512
DEMO_summer_02,DEMO_R043,10,21.8436
DEMO_summer_02,DEMO_R044,11,0.3458
DEMO_summer_02,DEMO_R045,0,0.0
DEMO_summer_02,DEMO_R046,0,0.0
DEMO_summer_02,DEMO_R047,0,0.0
DEMO_summer_03,DEMO_R001,2,4.5923
DEMO_summer_03,DEMO_R002,3,5.0552
DEMO_summer_03,DEMO_R003,0,0.0
DEMO_summer_03,DEMO_R004,23,63.7071
DEMO_summer_03,DEMO_R005,0,0.0
DEMO_summer_03,DEMO_R006,0,0.0
DEMO_summer_03,DEMO_R007,27,104.5812
DEMO_summer_03,DEMO_R008,0,0.0
DEMO_summer_03,DEMO_R009,0,0.0
DEMO_summer_03,DEMO_R010,0,0.0
DEMO_summer_03,DEMO_R011,24,60.5489
DEMO_summer_03,DEMO_R012,0,0.0
DEMO_summer_03,DEMO_R013,29,113.7374
DEMO_summer_03,DEMO_R014,2,5.8732
DEMO_summer_03,DEMO_R015,0,0.0
DEMO_summer_03,DEMO_R016,22,75.1338
DEMO_summer_03,DEMO_R017,0,0.0
DEMO_summer_03,DEMO_R018,22,35.7237
DEMO_summer_03,DEMO_R019,0,0.0
DEMO_summer_03,DEMO_R020,0,0.0
DEMO_summer_03,DEMO_R021,0,0.0
DEMO_summer_03,DEMO_R022,14,54.3674
DEMO_summer_03,DEMO_R023,0,0.0
