evidence_id,source_id,citation_or_label,doi_or_url,accessed_at,source_taxon_name,match_resolution,authenticity_status,evidence_detail_zh
EV_GALIZZI2012_ABLABESMYIA_FFG_001,galizzi_2012_chironomidae_diet,Diet and functional feeding groups of Chironomidae in the Middle Paraná River floodplain,10.1590/S0073-47212012000200001,2026-05-12,Ablabesmyia (Karelia) sp.,GO,clear,摘要说明 Ablabesmyia (Karelia) sp. 幼虫肠道中动物组织为主要食物，作者将其作为捕食性类群讨论。
EV_WONGLERSAK2021_ABLABESMYIA_MONILIS_LIFE_001,wonglersak_2021_chironomid_body_size_life_history,Insect body size changes under future warming projections: a case study of Chironomidae,10.1007/s10750-021-04597-8,2026-05-12,Ablabesmyia monilis,SG,clear,论文讨论中报告 A. monilis 的样本随羽化日期分布显示一年一代生活史，可与 Procladius 的一年两代证据形成零距离 pair 的年世代数差异。
EV_MICROSHELLS_ACUTICOSTA_SHELL_SHAPE_001,microshells_acuticosta_squammosus_20260512,Microshells Acuticosta chinensis squammosus page,https://bishogai.com/pic_book/data68/r006744.html,2026-05-12,Acuticosta chinensis squammosus,OS,clear,网页描述样本来自江西鄱阳湖砂底，作为中国尖嵴蚌的一型，壳中央附近和后端附近角张；审阅后只作为 OS 上卷自亚型/亚种的非流线型中等支持线索，后续报告必须标注来源特殊性。
EV_FU2022_DICROTENDIPES_SP_001,fu_2022_fevo922539,"Fu et al. 2022, Supplementary Table 2",10.3389/fevo.2022.922539,2026-05-12,Dicrotendipes nervosus,SG,clear,补充表 Table 2 对来源分类单元 Dicrotendipes nervosus 给出二元功能性状编码；匹配分辨率为 SG 同属种。
EV_EPA_TRAITS_DICROTENDIPES_VOLT_001,epa_me_nc_traitstable_20100927,Freshwater Biological Traits Database / EPA ME and NC trait tables,https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=P100LNWR.TXT,2026-05-12,Dicrotendipes,EG,clear,EPA ME/NC trait 表的属级 Dicrotendipes 记录给 Voltinism=bi_multi；元数据定义为 bi- or multivoltine (>1 generation/yr)。
EV_EOL_DICROTENDIPES_GENUS_FFG_001,eol_dicrotendipes_genus_20260512,EOL Dicrotendipes genus data page,https://eol.org/pages/55093,2026-05-12,Dicrotendipes,EG,clear,EOL 属级页列出 trophic guild 为 suspension feeder，并列出 developmental mode、tubicolous 等上下文属性。
EV_FU2022_TS2_GLYPTO_001,fu_2022_fevo922539,"Fu et al. 2022, Supplementary Table 2",10.3389/fevo.2022.922539,2026-05-11,Glyptotendipes tokunagai,OS,clear,补充表 Table 2 对采集到的大型底栖动物逐物种给出功能性状二元编码；目标 D0 taxon 由 Glyptotendipes tokunagai 上卷到 Glyptotendipes_sp.。
EV_FU2022_TEXT_METHOD_001,fu_2022_fevo922539,"Fu et al. 2022, article method/results text",10.3389/fevo.2022.922539,2026-05-11,Glyptotendipes tokunagai,OS,clear,正文说明 Table 2 使用 1/0 二元编码；正文结果列明 Glyptotendipes tokunagai 仅在湖区出现，并说明四类生态系统未观察到 semivoltine、swimming、parasitic taxa。
EV_BAEK2014_LIFE_HISTORY_001,baek_2014_en14052,"Baek et al. 2014, Environmental Entomology",10.1603/EN14052,2026-05-11,Glyptotendipes tokunagai,OS,clear,用户授权提供的 OUP HTML/PDF；文章记录卵团采集、卵和幼虫在水体条件下饲养、幼虫和蛹水中转移、成虫羽化及每代从首枚卵到末只成虫约 6 个月。
EV_FU2022_MICROCHIRONOMUS_SP_001,fu_2022_fevo922539,"Fu et al. 2022, Supplementary Table 2",10.3389/fevo.2022.922539,2026-05-12,Microchironomus tener,OS,clear,补充表 Table 2 对来源分类单元 Microchironomus tener 给出二元功能性状编码；匹配分辨率为 OS 原始种上卷。
