review_decision_id,candidate_id,taxon_id,output_column,standard_value,source_id,evidence_id,match_resolution_code,final_review_decision,merge_eligibility_before_conflict_check,decision_basis_zh,review_batch
FRD-0001,,Benthalia_sp.,aquatic_stage__egg_larva_aquatic,3,benthalia_genus_serra2016,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0002,,Benthalia_sp.,aquatic_stage__fully_aquatic,0,benthalia_genus_serra2016,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0003,,Benthalia_sp.,feeding_group__scraper_grazer,1,benthalia_genus_serra2016,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0004,,Benthalia_sp.,feeding_group__shredder,1,benthalia_genus_serra2016,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0005,,Benthalia_sp.,max_size_coarse__ge_approx_10mm,1,benthalia_genus_serra2016,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0006,,Benthalia_sp.,max_size_coarse__lt_10mm,0,benthalia_genus_serra2016,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0007,,Benthalia_sp.,oviposition_mode__egg_mass,1,benthalia_genus_serra2016,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0008,,Benthalia_sp.,voltinism__multivoltine_gt_1_generation_per_year,3,benthalia_genus_serra2016,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0009,,Benthalia_sp.,voltinism__univoltine_1_generation_per_year,3,benthalia_genus_serra2016,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0010,,Cryptochironomus_sp.,feeding_group__collector_filterer,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0011,,Cryptochironomus_sp.,feeding_group__collector_gatherer,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0012,,Cryptochironomus_sp.,feeding_group__parasite,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0013,,Cryptochironomus_sp.,feeding_group__predator_piercer,1,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0014,,Cryptochironomus_sp.,feeding_group__scraper_grazer,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0015,,Cryptochironomus_sp.,feeding_group__shredder,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0016,,Cryptochironomus_sp.,locomotion__burrower_interstitial,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0017,,Cryptochironomus_sp.,locomotion__clinger,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0018,,Cryptochironomus_sp.,locomotion__crawler_climber_sprawler,1,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0019,,Cryptochironomus_sp.,locomotion__mobile_swimmer_planktonic_skater_flier,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0020,,Cryptotendipes_sp.,feeding_group__collector_filterer,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0021,,Cryptotendipes_sp.,feeding_group__collector_gatherer,1,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0022,,Cryptotendipes_sp.,feeding_group__parasite,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0023,,Cryptotendipes_sp.,feeding_group__predator_piercer,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0024,,Cryptotendipes_sp.,feeding_group__scraper_grazer,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0025,,Cryptotendipes_sp.,feeding_group__shredder,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0026,,Cryptotendipes_sp.,locomotion__burrower_interstitial,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0027,,Cryptotendipes_sp.,locomotion__clinger,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0028,,Cryptotendipes_sp.,locomotion__crawler_climber_sprawler,1,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0029,,Cryptotendipes_sp.,locomotion__mobile_swimmer_planktonic_skater_flier,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0030,,Cuneopsis_sp.,max_size_coarse__ge_approx_10mm,1,liu_2022_china_unionida_review,,OS,accepted_after_user_review,,用户审阅后接受：Cuneopsis_sp 仅采用 OS 证据；Liu2022 中 Cuneopsis heudei max_length_mm=110 可支持粗二元体型。,2026-05-05
FRD-0031,,Cuneopsis_sp.,max_size_coarse__lt_10mm,0,liu_2022_china_unionida_review,,OS,accepted_after_user_review,,用户审阅后接受：Cuneopsis_sp 仅采用 OS 证据；Liu2022 中 Cuneopsis heudei max_length_mm=110 可支持粗二元体型。,2026-05-05
FRD-0032,,Ictinogomphus_sp.,feeding_group__collector_filterer,0,eol_traitbank_4pages,,OS,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0033,,Ictinogomphus_sp.,feeding_group__collector_gatherer,0,eol_traitbank_4pages,,OS,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0034,,Ictinogomphus_sp.,feeding_group__parasite,0,eol_traitbank_4pages,,OS,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0035,,Ictinogomphus_sp.,feeding_group__predator_piercer,1,eol_traitbank_4pages,,OS,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0036,,Ictinogomphus_sp.,feeding_group__scraper_grazer,0,eol_traitbank_4pages,,OS,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0037,,Ictinogomphus_sp.,feeding_group__shredder,0,eol_traitbank_4pages,,OS,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0038,,Ictinogomphus_sp.,voltinism__multivoltine_gt_1_generation_per_year,0,eol_traitbank_4pages,,OS,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0039,,Ictinogomphus_sp.,voltinism__semivoltine_lt_1_generation_per_year,3,eol_traitbank_4pages,,OS,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0040,,Ictinogomphus_sp.,voltinism__univoltine_1_generation_per_year,3,eol_traitbank_4pages,,OS,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0041,,Micropsectra_sp.,feeding_group__collector_filterer,1,eol_traitbank_4pages,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0042,,Micropsectra_sp.,feeding_group__collector_gatherer,1,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0043,,Micropsectra_sp.,feeding_group__parasite,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0044,,Micropsectra_sp.,feeding_group__predator_piercer,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0045,,Micropsectra_sp.,feeding_group__scraper_grazer,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0046,,Micropsectra_sp.,feeding_group__shredder,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0047,,Micropsectra_sp.,locomotion__burrower_interstitial,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0048,,Micropsectra_sp.,locomotion__clinger,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0049,,Micropsectra_sp.,locomotion__crawler_climber_sprawler,1,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
FRD-0050,,Micropsectra_sp.,locomotion__mobile_swimmer_planktonic_skater_flier,0,epa_nc_traitstable,,GO,accepted_after_user_review,,用户审阅后未发现进一步问题；作为本轮最终接受的本地源补值候选。,2026-05-05
