source_id,source_name,citation,doi_or_url,source_scope,rights_note_zh
alpine_streams_harmonized_traits,Harmonizing and Searching Macroinvertebrate Trait Information in Alpine Streams,"Ao, S., Li, X., Tian, Z., Hu, J. & Cai, Q. (2022). Harmonizing and Searching Macroinvertebrate Trait Information in Alpine Streams: Method and Application–A Case Study in the Three Parallel Rivers Region, China. Frontiers in Ecology and Evolution, 10, 945824. doi: 10.3389/fevo.2022.945824.",10.3389/fevo.2022.945824 | https://www.frontiersin.org/articles/10.3389/fevo.2022.945824/full,"China, Three Parallel Rivers Region alpine streams",保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
baek_2014_en14052,"Baek et al. 2014, Environmental Entomology","Baek et al. 2014, Environmental Entomology",10.1603/EN14052,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
benthalia_genus_serra2016,Benthalia genus trait slice from Serra et al. 2016 supplementary database,"Serra et al. (2016). Synthesising the trait information of European Chironomidae (Insecta: Diptera): Towards a new database. Ecological Indicators, 61, 282-292. doi: 10.1016/j.ecolind.2015.09.028.",10.1016/j.ecolind.2015.09.028 | https://www.sciencedirect.com/science/article/pii/S1470160X15005142,European freshwater Chironomidae database; local source slice only keeps Benthalia genus row,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
cuneopsis_heudei_targeted_traits,Targeted freshwater mussel traits package centered on Cuneopsis heudei,"WU Ruiwen, GAO Boyu, LAN Zhichun, ZHANG Minghua, OUYANG Shan, WU Xiaoping. 2017. Predicting local colonization and extinction rates of freshwater mussels based on biological traits in a case of Lake Poyang. Journal of Lake Sciences, 29(3): 678-686. DOI: 10.18307/2017.0317. | WU Xiaoping, LIANG Yanling, WANG Hongzhu, OUYANG Shan. 1999. Morphological Characters of Glochidia of Unionidae and the Taxonomic Significance. Acta Hydrobiologica Sinica, 23(Suppl.): 139-147.",10.18307/2017.0317 | local_pdf:WuWang99bActaHydrobiolSin.pdf,China direct source: Lake Poyang freshwater mussels + Chinese Unionidae glochidial morphology literature,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
douda_2024_sinanodonta_review,Review of the globally invasive freshwater mussels in the genus Sinanodonta,Review of the globally invasive freshwater mussels in the genus Sinanodonta,10.1007/s10750-023-05457-3,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
dryad_qrfj6q5nh_v20240304,Dryad 主数据来源,"Jiang, X., Peng, D., Alahuhta, J., Heino, J., Li, Z. & Xie, Z. (2024). Datasets of 30 freshwater lakes including macroinvertebrate data and explanatory data. Dryad. DOI: 10.5061/dryad.qrfj6q5nh.",10.5061/dryad.qrfj6q5nh | https://datadryad.org/dataset/doi:10.5061/dryad.qrfj6q5nh,"China, Yangtze floodplain 30 freshwater lakes",保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
eol_dicrotendipes_genus_20260512,EOL Dicrotendipes genus data page,EOL Dicrotendipes genus data page,https://eol.org/pages/55093,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
eol_polypedilum_scalaenum_20260512,EOL Polypedilum scalaenum data page,EOL Polypedilum scalaenum data page,https://eol.org/pages/744933,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
eol_procladius_choreus_20260512,EOL Procladius choreus data page,EOL Procladius choreus data page,https://eol.org/pages/717075,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
eol_traitbank_4pages,EOL TraitBank 4-page structured snapshot,"Encyclopedia of Life (EOL) TraitBank visible-page snapshot manually structured from four data pages on 2026-04-12: Micropsectra (page 54811), Ictinogomphus rapax (page 355770), Rivularia auriculata (page 29346503), and Rivularia (page 47011509).",https://eol.org/pages/54811/data | https://eol.org/pages/355770/data | https://eol.org/pages/29346503/data | https://eol.org/pages/47011509/data,Global trait portal snapshot; current 4 pages are freshwater taxa relevant to East Asia but do not form a coherent regional survey.,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
epa_me_nc_traitstable_20100927,Freshwater Biological Traits Database / EPA ME and NC trait tables,Freshwater Biological Traits Database / EPA ME and NC trait tables,https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=P100LNWR.TXT,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
epa_me_traitstable,EPA GCRP State Biomonitoring Data Climate Change Pilot Project 2010: Freshwater Biological Traits Table for Maine,"U.S. EPA Freshwater Biological Traits Database (Traits), state-level integrated spreadsheet under EPA GCRP State Biomonitoring Data Climate Change Pilot Project 2010; main sources: Vieira et al. 2006; Poff et al. 2006 trait matrix. State table: ME Trait Table and Metadata.",https://www.epa.gov/sites/default/files/2018-03/me_traitstable_metadata.xls | https://www.epa.gov/risk/freshwater-biological-traits-database-traits | https://www.epa.gov/risk/freshwater-biological-traits-database-data-sources,Maine freshwater biomonitoring OTUs within the EPA state climate pilot (NE),保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
epa_nc_traitstable,EPA GCRP State Biomonitoring Data Climate Change Pilot Project 2010: Freshwater Biological Traits Table for North Carolina,"U.S. EPA Freshwater Biological Traits Database (Traits), state-level integrated spreadsheet under EPA GCRP State Biomonitoring Data Climate Change Pilot Project 2010; main sources: Vieira et al. 2006; Poff et al. 2006 trait matrix. State table: NC Trait Table and Metadata.",https://www.epa.gov/sites/default/files/2018-03/nc_traitstable_metadata_0.xls | https://www.epa.gov/risk/freshwater-biological-traits-database-traits | https://www.epa.gov/risk/freshwater-biological-traits-database-data-sources,North Carolina freshwater biomonitoring OTUs within the EPA state climate pilot (SE),保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
fu_2022_fevo922539,"Fu et al. 2022, Supplementary Table 2","Fu et al. 2022, Supplementary Table 2",10.3389/fevo.2022.922539,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
galizzi_2012_chironomidae_diet,Diet and functional feeding groups of Chironomidae in the Middle Paraná River floodplain,Diet and functional feeding groups of Chironomidae in the Middle Paraná River floodplain,10.1590/S0073-47212012000200001,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
korean_stream_macroinvertebrate_v1_2,Macroinvertebrate functional trait database of South Korean stream,Macroinvertebrate functional trait database of South Korean stream,10.6084/m9.figshare.22010822 | 10.1038/s41597-023-02678-y,South Korean streams,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
liu_2022_china_unionida_review,"Systematics, distribution, biology, and conservation of freshwater mussels (Bivalvia: Unionida) in China","Xiongjun Liu, Yueying Liu, Ruiwen Wu, David T. Zanatta, Manuel Lopes-Lima, Duarte V. Gonçalves, Arthur E. Bogan, Shan Ouyang & Xiaoping Wu (2022). Systematics, distribution, biology, and conservation of freshwater mussels (Bivalvia: Unionida) in China. Aquatic Conservation: Marine and Freshwater Ecosystems, 32(5): 859-895. Current MVP uses Appendix S3 (Summary of main biological traits of Chinese freshwater mussels). DOI: 10.1002/aqc.3799.",10.1002/aqc.3799 | https://onlinelibrary.wiley.com/doi/10.1002/aqc.3799,China direct national freshwater mussel review,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
microshells_acuticosta_squammosus_20260512,Microshells Acuticosta chinensis squammosus page,Microshells Acuticosta chinensis squammosus page,https://bishogai.com/pic_book/data68/r006744.html,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
specziar_2008_procladius_life_history,"Life history patterns of Procladius choreus, Tanypus punctipennis and Chironomus balatonicus in Lake Balaton","Life history patterns of Procladius choreus, Tanypus punctipennis and Chironomus balatonicus in Lake Balaton",10.1051/limn:2008002,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
tang_2014_polypedilum_masudai_immature,The immature stages of Polypedilum nodosum and Polypedilum masudai,The immature stages of Polypedilum nodosum and Polypedilum masudai,10.11646/zootaxa.3893.3.6,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
wonglersak_2021_chironomid_body_size_life_history,Insect body size changes under future warming projections: a case study of Chironomidae,Insect body size changes under future warming projections: a case study of Chironomidae,10.1007/s10750-021-04597-8,,保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
wu_2018_unionid_reproductive_traits,Wu et al. 2018 Table 4 reproductive traits of 19 Chinese unionid taxa,"Wu, R.-W., Chen, T.-H., Zanatta, D.T., Ouyang, S. & Wu, X.-P. 2018. Reproductive traits of nine freshwater mussel species (Mollusca: Unionidae) from Poyang Lake, China. Journal of Molluscan Studies, 84: 324-332. Current source table is a faithful transcription of Table 4 (Summary of reproductive traits of 19 unionid species in China). DOI: 10.1093/mollus/eyy016.",10.1093/mollus/eyy016,"China direct source; Table 4 summarizes reproductive traits of 19 unionid taxa in China, anchored in a Poyang Lake study context.",保留来源归属；未打包第三方原文或整库，未在本仓库代授第三方材料许可证
