taxon_id,accepted_or_operational_name,kingdom,phylum,class,order,family,genus
Sinanodonta_sp.,Sinanodonta sp.,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Sinanodonta
Pseudovivipara_sp.,Pseudovivipara sp.,Animalia,Mollusca,Gastropoda,Littorinimorpha,Bithyniidae,Pseudovivipara
Glyptotendipes_sp.,Glyptotendipes sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes
Lamprotula_sp.,Lamprotula sp.,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Lamprotula
Rivularia_sp.,Rivularia sp.,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Rivularia
Dicrotendipes_sp.,Dicrotendipes sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes
Semisulcospira_sp.,Semisulcospira sp.,Animalia,Mollusca,Gastropoda,,Semisulcospiridae,Semisulcospira
Sinotaia_sp.,Sinotaia sp.,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Sinotaia
Benthalia_sp.,Benthalia sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Benthalia
Pomacea_sp.,Pomacea sp.,Animalia,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea
Corbicula_sp.,Corbicula sp.,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula
Limnoperna_sp.,Limnoperna sp.,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Limnoperna
Procladius_sp.,Procladius sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Procladius
Chironomus_sp.,Chironomus sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus
Cryptochironomus_sp.,Cryptochironomus sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cryptochironomus
Limnodrilus_sp.,Limnodrilus sp.,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus
Lanceolaria_sp.,Lanceolaria sp.,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Lanceolaria
Whitmania_sp.,Whitmania sp.,Animalia,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,Whitmania
Cryptotendipes_sp.,Cryptotendipes sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cryptotendipes
Rheotanytarsus_sp.,Rheotanytarsus sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Rheotanytarsus
Polypedilum_sp.,Polypedilum sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum
Hemiclepsis_sp.,Hemiclepsis sp.,Animalia,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Hemiclepsis
Macrobrachium_sp.,Macrobrachium sp.,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium
Microchironomus_sp.,Microchironomus sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Microchironomus
Cricotopus_sp.,Cricotopus sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus
Baetis_sp.,Baetis sp.,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis
Branchiura_sp.,Branchiura sp.,Animalia,Annelida,Clitellata,Tubificida,Naididae,Branchiura
Tanytarsus_sp.,Tanytarsus sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus
Ablabesmyia_sp.,Ablabesmyia sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia
Ictinogomphus_sp.,Ictinogomphus sp.,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Ictinogomphus
Palaemon_sp.,Palaemon sp.,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon
Nodularia_sp.,Nodularia sp.,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Nodularia
Cuneopsis_sp.,Cuneopsis sp.,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cuneopsis
Micropsectra_sp.,Micropsectra sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra
Acuticosta_sp.,Acuticosta sp.,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Acuticosta
Rhyacodrilus_sp.,Rhyacodrilus sp.,Animalia,Annelida,Clitellata,Tubificida,Naididae,Rhyacodrilus
Cipangopaludina_sp.,Cipangopaludina sp.,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Cipangopaludina
