taxon_id,max_size_coarse__lt_10mm,max_size_coarse__ge_approx_10mm,shape_S1_streamlined,shape_S2_non_streamlined,armour_AR1_none,armour_AR2_weak,armour_AR3_strong,locomotion__burrower_interstitial,locomotion__crawler_climber_sprawler,locomotion__clinger,locomotion__mobile_swimmer_planktonic_skater_flier,feeding_group__collector_gatherer,feeding_group__collector_filterer,feeding_group__scraper_grazer,feeding_group__shredder,feeding_group__predator_piercer,feeding_group__parasite,respiration__integument,respiration__gill,respiration__aerial_any,dispersal_mode__aquatic_passive,dispersal_mode__terrestrial_passive,dispersal_mode__terrestrial_active,aquatic_stage__egg_larva_aquatic,aquatic_stage__fully_aquatic,sexual_maturity_duration__short,sexual_maturity_duration__long,life_span_bin__le_1yr,life_span_bin__gt_1yr,voltinism__semivoltine_lt_1_generation_per_year,voltinism__univoltine_1_generation_per_year,voltinism__multivoltine_gt_1_generation_per_year,fertilization_mode__internal,fertilization_mode__external,oviposition_mode__egg_mass,oviposition_mode__ovoviviparity,oviposition_mode__soft_chorion
Sinanodonta_sp.,0,1,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,,,0,1,0,3,0,,,0,1,0,0,1
Pseudovivipara_sp.,0,1,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,2,0,1,0,2,0,0,2,1,0,1,0,0
Glyptotendipes_sp.,1,0,,,,,,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,3,0,0,0,3,1,0,1,0,0
Lamprotula_sp.,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,3,0,2,1,0,1,0,0,1
Rivularia_sp.,0,1,,,0,0,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicrotendipes_sp.,1,0,,,,,,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,,,1,0,,,0,0,3,1,0,1,0,0
Semisulcospira_sp.,0,1,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,2,0,1,0,3,0,0,2,1,0,1,0,0
Sinotaia_sp.,0,1,0,2,0,0,2,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,2,2,0,1,0,1,0,0,2,1,0,0,1,0
Benthalia_sp.,0,1,,,,,,,,,,,,1,1,,,,,,,,,3,0,,,,,,3,3,,,1,,
Pomacea_sp.,0,1,0,2,0,0,2,0,1,1,0,1,0,1,0,0,0,0,1,1,,,,2,1,,,0,2,0,1,1,,,,,
