output_column,standard_trait_group_cn,standard_trait_id,standard_modality_id,standard_name_cn,final_data_type,allowed_values,standardized_value_meaning_zh,missing_value_rule
max_size_coarse__lt_10mm,体型/最大尺寸,max_size_coarse,lt_10mm,最大体型较小（约 <10 mm）,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 转 NA。
max_size_coarse__ge_approx_10mm,体型/最大尺寸,max_size_coarse,ge_approx_10mm,最大体型较大（约 ≥10 mm）,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 转 NA。
shape_S1_streamlined,体形/水动力形态,shape_S1_streamlined,,流线型/扁平或纺锤形,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
shape_S2_non_streamlined,体形/水动力形态,shape_S2_non_streamlined,,非流线型/圆柱圆形钝圆,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
armour_AR1_none,体表/外骨骼/装甲,armour_AR1_none,,无装甲,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
armour_AR2_weak,体表/外骨骼/装甲,armour_AR2_weak,,弱装甲,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
armour_AR3_strong,体表/外骨骼/装甲,armour_AR3_strong,,强装甲,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
locomotion__burrower_interstitial,运动方式/栖行习性,locomotion,burrower_interstitial,掘穴/间隙生活,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
locomotion__crawler_climber_sprawler,运动方式/栖行习性,locomotion,crawler_climber_sprawler,爬行/攀爬/匍匐,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
locomotion__clinger,运动方式/栖行习性,locomotion,clinger,附着型,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
locomotion__mobile_swimmer_planktonic_skater_flier,运动方式/栖行习性,locomotion,mobile_swimmer_planktonic_skater_flier,游泳/浮游/滑行/飞行,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
feeding_group__collector_gatherer,功能摄食类群,feeding_group,collector_gatherer,采集-收集者,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
feeding_group__collector_filterer,功能摄食类群,feeding_group,collector_filterer,采集-过滤者,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
feeding_group__scraper_grazer,功能摄食类群,feeding_group,scraper_grazer,刮食者/牧食者,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
feeding_group__shredder,功能摄食类群,feeding_group,shredder,撕碎者,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
feeding_group__predator_piercer,功能摄食类群,feeding_group,predator_piercer,捕食者/刺吸者,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
feeding_group__parasite,功能摄食类群,feeding_group,parasite,寄生者,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
respiration__integument,呼吸方式,respiration,integument,体表呼吸,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
respiration__gill,呼吸方式,respiration,gill,鳃呼吸,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
respiration__aerial_any,呼吸方式,respiration,aerial_any,任何空气呼吸策略,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 与 Korean 都缺失时 NA；Korean fuzzy=1 时 NA。
dispersal_mode__aquatic_passive,水生阶段/扩散能力,dispersal_mode,aquatic_passive,水生被动扩散,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 缺失时 NA；Korean AS 不填补。
dispersal_mode__terrestrial_passive,水生阶段/扩散能力,dispersal_mode,terrestrial_passive,陆生被动扩散,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 缺失时 NA；Korean AS 不填补。
dispersal_mode__terrestrial_active,水生阶段/扩散能力,dispersal_mode,terrestrial_active,陆生活跃扩散,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 缺失时 NA；Korean AS 不填补。
aquatic_stage__egg_larva_aquatic,水生阶段/扩散能力,aquatic_stage,egg_larva_aquatic,卵和幼体阶段水生,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
aquatic_stage__fully_aquatic,水生阶段/扩散能力,aquatic_stage,fully_aquatic,全生活史水生,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
sexual_maturity_duration__short,寿命与性成熟,sexual_maturity_duration,short,性成熟时间短,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 缺失时 NA；Korean L1 不填补。
sexual_maturity_duration__long,寿命与性成熟,sexual_maturity_duration,long,性成熟时间长,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 缺失时 NA；Korean L2 不填补。
life_span_bin__le_1yr,寿命与性成熟,life_span_bin,le_1yr,寿命 ≤1 年,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
life_span_bin__gt_1yr,寿命与性成熟,life_span_bin,gt_1yr,寿命 >1 年,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
voltinism__semivoltine_lt_1_generation_per_year,寿命与性成熟,voltinism,semivoltine_lt_1_generation_per_year,多年一代/半化性（<1 代/年）,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
voltinism__univoltine_1_generation_per_year,寿命与性成熟,voltinism,univoltine_1_generation_per_year,一年一代,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
voltinism__multivoltine_gt_1_generation_per_year,寿命与性成熟,voltinism,multivoltine_gt_1_generation_per_year,一年多代,korean_fuzzy_0_3_NA,0;1;2;3;NA,保留 Korean 原始 fuzzy code：0=no confidence/无支持，1=less confident，2=moderately confident，3=highly confident；NA=该 taxon 无可用 Korean 来源或源值缺失。,Korean 缺失时 NA；fuzzy code 0/1/2/3 直接保留；Dryad 不填补。
fertilization_mode__internal,受精方式,fertilization_mode,internal,体内受精,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 缺失时 NA；Korean 不填补。
fertilization_mode__external,受精方式,fertilization_mode,external,体外受精,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 缺失时 NA；Korean 不填补。
oviposition_mode__egg_mass,产卵/繁殖方式,oviposition_mode,egg_mass,卵块/卵团产卵,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 缺失时 NA；Korean 不填补。
oviposition_mode__ovoviviparity,产卵/繁殖方式,oviposition_mode,ovoviviparity,卵胎生,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 缺失时 NA；Korean 不填补。
oviposition_mode__soft_chorion,产卵/繁殖方式,oviposition_mode,soft_chorion,软卵膜,binary_0_1_NA,0;1;NA,0=该 modality 不存在/不符合；1=该 modality 存在/符合；NA=无可用来源、源值缺失，或 Korean fuzzy=1 在合并二元列中按规则转为不确定。,Dryad 缺失时 NA；Korean 不填补。
