taxon_id,output_column,value,previous_value,value_origin,value_origin_zh,source_id_used,candidate_ids_used,review_decision_ids_used
Sinanodonta_sp.,max_size_coarse__lt_10mm,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,max_size_coarse__ge_approx_10mm,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,shape_S1_streamlined,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,korean_stream_macroinvertebrate_v1_2,CAND_SINANODONTA_SP_FULL_007,RGD-0058
Sinanodonta_sp.,shape_S2_non_streamlined,2,,reviewed_trait_gap_completion,本轮审定缺值检索补值,korean_stream_macroinvertebrate_v1_2,CAND_SINANODONTA_SP_FULL_008,RGD-0059
Sinanodonta_sp.,armour_AR1_none,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,korean_stream_macroinvertebrate_v1_2,CAND_SINANODONTA_SP_FULL_009,RGD-0060
Sinanodonta_sp.,armour_AR2_weak,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,korean_stream_macroinvertebrate_v1_2,CAND_SINANODONTA_SP_FULL_010,RGD-0061
Sinanodonta_sp.,armour_AR3_strong,2,,reviewed_trait_gap_completion,本轮审定缺值检索补值,korean_stream_macroinvertebrate_v1_2,CAND_SINANODONTA_SP_FULL_011,RGD-0062
Sinanodonta_sp.,locomotion__burrower_interstitial,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,locomotion__crawler_climber_sprawler,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,locomotion__clinger,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,locomotion__mobile_swimmer_planktonic_skater_flier,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,feeding_group__collector_gatherer,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,feeding_group__collector_filterer,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,feeding_group__scraper_grazer,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,feeding_group__shredder,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,feeding_group__predator_piercer,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,feeding_group__parasite,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,fu_2022_fevo922539; korean_stream_macroinvertebrate_v1_2,CAND_SINANODONTA_SP_P0_006; CAND_SINANODONTA_SP_FULL_012,RGD-0057; RGD-0063
Sinanodonta_sp.,respiration__integument,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,respiration__gill,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,respiration__aerial_any,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,dispersal_mode__aquatic_passive,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,dispersal_mode__terrestrial_passive,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,dispersal_mode__terrestrial_active,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,aquatic_stage__egg_larva_aquatic,,,missing,仍缺失,,,
Sinanodonta_sp.,aquatic_stage__fully_aquatic,,,missing,仍缺失,,,
Sinanodonta_sp.,sexual_maturity_duration__short,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,sexual_maturity_duration__long,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,life_span_bin__le_1yr,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,fu_2022_fevo922539; korean_stream_macroinvertebrate_v1_2; douda_2024_sinanodonta_review,CAND_SINANODONTA_SP_P0_001; CAND_SINANODONTA_SP_FULL_015; CAND_SINANODONTA_SP_FULL_020,RGD-0052; RGD-0066; RGD-0071
Sinanodonta_sp.,life_span_bin__gt_1yr,3,,reviewed_trait_gap_completion,本轮审定缺值检索补值,fu_2022_fevo922539; korean_stream_macroinvertebrate_v1_2; douda_2024_sinanodonta_review,CAND_SINANODONTA_SP_P0_002; CAND_SINANODONTA_SP_FULL_016; CAND_SINANODONTA_SP_FULL_021,RGD-0053; RGD-0067; RGD-0072
