data_type,dimension,season,coefficient,partition,component_a,component_b,n_pairs,mean_total,mean_component_a,mean_component_b
incidence,TD,summer,sorensen,baselga,turnover,nestedness_resultant,66,0.5944757795729526,0.4759635566453748,0.1185122229275779
incidence,TD,autumn,sorensen,baselga,turnover,nestedness_resultant,66,0.609428706091202,0.5130323800778346,0.09639632601336734
incidence,FD,summer,jaccard,podani,replacement,richness_difference,66,0.505878508461978,0.26297574177674027,0.24290276668523778
incidence,FD,autumn,jaccard,podani,replacement,richness_difference,66,0.5112585469617215,0.3353776046954944,0.17588094226622708
incidence,PD_proxy,summer,sorensen,baselga,turnover,nestedness_resultant,66,0.3989773759886372,0.2779430069281898,0.12103436906044739
incidence,PD_proxy,autumn,sorensen,baselga,turnover,nestedness_resultant,66,0.4026194072561017,0.3065393585648283,0.09608004869127348
density,TD,summer,sorensen,podani,balanced_variation,abundance_gradient,66,0.8352684918095352,0.4960897695551329,0.3391787222544024
density,TD,autumn,sorensen,podani,balanced_variation,abundance_gradient,66,0.8376668666699282,0.5763598827459566,0.26130698392397156
density,FD,summer,sorensen,podani,replacement,abundance_difference,66,0.5510923004575191,0.2119135782031168,0.3391787222544023
density,FD,autumn,sorensen,podani,replacement,abundance_difference,66,0.5357529460414291,0.27444596211745753,0.26130698392397156
density,PD_proxy,summer,sorensen,podani,replacement,abundance_difference,66,0.5669673927425415,0.2280418868806459,0.33892550586189557
density,PD_proxy,autumn,sorensen,podani,replacement,abundance_difference,66,0.5549672830093915,0.2936602990854199,0.26130698392397156
biomass,TD,summer,sorensen,podani,balanced_variation,abundance_gradient,66,0.8568338741748162,0.4903261077113361,0.3665077664634801
biomass,TD,autumn,sorensen,podani,balanced_variation,abundance_gradient,66,0.8688228499946644,0.5443194467263925,0.32450340326827165
biomass,FD,summer,sorensen,podani,replacement,abundance_difference,66,0.5984464182237201,0.23193865176024014,0.3665077664634801
biomass,FD,autumn,sorensen,podani,replacement,abundance_difference,66,0.6109688984531028,0.286465495184831,0.3245034032682717
biomass,PD_proxy,summer,sorensen,podani,replacement,abundance_difference,66,0.6060511643403282,0.2409497803294786,0.3651013840108496
biomass,PD_proxy,autumn,sorensen,podani,replacement,abundance_difference,66,0.6355109542226098,0.3110075509543382,0.32450340326827176
